deposit_the_first,age,gender,gift,rates,special_benefits,account_type
49206,40,Both,No,3.5,No,0
88271,34,Both,No,3.5,No,0
68716,43,Both,No,3.5,No,0
99389,27,Both,No,3.5,No,0
88742,24,Both,No,3.5,No,0
94891,39,Both,No,3.5,No,0
61901,36,Both,No,3.5,No,0
52360,39,Both,No,3.5,No,0
6664,25,Both,No,3.5,No,0
16394,49,Both,No,3.5,No,0
69280,47,Both,No,3.5,No,0
84438,41,Both,No,3.5,No,0
50859,21,Both,No,3.5,No,0
19850,46,Both,No,3.5,No,0
30371,30,Both,No,3.5,No,0
70977,30,Both,No,3.5,No,0
38160,25,Both,No,3.5,No,0
42114,41,Both,No,3.5,No,0
77825,48,Both,No,3.5,No,0
98192,50,Both,No,3.5,No,0
83290,42,Both,No,3.5,No,0
39607,50,Both,No,3.5,No,0
97281,48,Both,No,3.5,No,0
73920,36,Both,No,3.5,No,0
58031,21,Both,No,3.5,No,0
24132,19,Both,No,3.5,No,0
90232,27,Both,No,3.5,No,0
79448,36,Both,No,3.5,No,0
26420,38,Both,No,3.5,No,0
83608,22,Both,No,3.5,No,0
98210,21,Both,No,3.5,No,0
62950,41,Both,No,3.5,No,0
62914,28,Both,No,3.5,No,0
69974,32,Both,No,3.5,No,0
58805,21,Both,No,3.5,No,0
64267,22,Both,No,3.5,No,0
48022,21,Both,No,3.5,No,0
88783,42,Both,No,3.5,No,0
29347,34,Both,No,3.5,No,0
55789,39,Both,No,3.5,No,0
40149,19,Both,No,3.5,No,0
20622,35,Both,No,3.5,No,0
6569,50,Both,No,3.5,No,0
65761,28,Both,No,3.5,No,0
50911,34,Both,No,3.5,No,0
97675,37,Both,No,3.5,No,0
73251,21,Both,No,3.5,No,0
21301,41,Both,No,3.5,No,0
42371,24,Both,No,3.5,No,0
44963,27,Both,No,3.5,No,0
35660,24,Both,No,3.5,No,0
32288,50,Both,No,3.5,No,0
75590,32,Both,No,3.5,No,0
69878,44,Both,No,3.5,No,0
32104,43,Both,No,3.5,No,0
35849,22,Both,No,3.5,No,0
43939,45,Both,No,3.5,No,0
46001,43,Both,No,3.5,No,0
49377,27,Both,No,3.5,No,0
61789,50,Both,No,3.5,No,0
49224,23,Both,No,3.5,No,0
46980,47,Both,No,3.5,No,0
57839,31,Both,No,3.5,No,0
79416,47,Both,No,3.5,No,0
52770,30,Both,No,3.5,No,0
68870,48,Both,No,3.5,No,0
75863,39,Both,No,3.5,No,0
97620,28,Both,No,3.5,No,0
37946,31,Both,No,3.5,No,0
83149,30,Both,No,3.5,No,0
10536,23,Both,No,3.5,No,0
52149,37,Both,No,3.5,No,0
88037,25,Both,No,3.5,No,0
71102,18,Both,No,3.5,No,0
66275,44,Both,No,3.5,No,0
79376,45,Both,No,3.5,No,0
74502,48,Both,No,3.5,No,0
11037,27,Both,No,3.5,No,0
20411,35,Both,No,3.5,No,0
91959,43,Both,No,3.5,No,0
77066,29,Both,No,3.5,No,0
13826,26,Both,No,3.5,No,0
35611,33,Both,No,3.5,No,0
71797,23,Both,No,3.5,No,0
35563,26,Both,No,3.5,No,0
83788,35,Both,No,3.5,No,0
30153,40,Both,No,3.5,No,0
19436,32,Both,No,3.5,No,0
22040,19,Both,No,3.5,No,0
73028,39,Both,No,3.5,No,0
20257,28,Both,No,3.5,No,0
31990,45,Both,No,3.5,No,0
32192,20,Both,No,3.5,No,0
91094,38,Both,No,3.5,No,0
69291,23,Both,No,3.5,No,0
61082,41,Both,No,3.5,No,0
97755,48,Both,No,3.5,No,0
76394,40,Both,No,3.5,No,0
56952,18,Both,No,3.5,No,0
99931,34,Both,No,3.5,No,0
28343,20,Both,No,3.5,No,0
54430,49,Both,No,3.5,No,0
47239,49,Both,No,3.5,No,0
16067,48,Both,No,3.5,No,0
54608,32,Both,No,3.5,No,0
23707,37,Both,No,3.5,No,0
49781,44,Both,No,3.5,No,0
61168,28,Both,No,3.5,No,0
26447,22,Both,No,3.5,No,0
51814,46,Both,No,3.5,No,0
96591,42,Both,No,3.5,No,0
36832,34,Both,No,3.5,No,0
13754,37,Both,No,3.5,No,0
62838,31,Both,No,3.5,No,0
39665,20,Both,No,3.5,No,0
56876,18,Both,No,3.5,No,0
52781,33,Both,No,3.5,No,0
25327,35,Both,No,3.5,No,0
98261,39,Both,No,3.5,No,0
72601,47,Both,No,3.5,No,0
96553,31,Both,No,3.5,No,0
5773,46,Both,No,3.5,No,0
3757,31,Both,No,3.5,No,0
41630,40,Both,No,3.5,No,0
78729,41,Both,No,3.5,No,0
25751,21,Both,No,3.5,No,0
24061,32,Both,No,3.5,No,0
87896,48,Both,No,3.5,No,0
12457,25,Both,No,3.5,No,0
88096,20,Both,No,3.5,No,0
40543,41,Both,No,3.5,No,0
13268,42,Both,No,3.5,No,0
77716,41,Both,No,3.5,No,0
88077,29,Both,No,3.5,No,0
20630,45,Both,No,3.5,No,0
32789,33,Both,No,3.5,No,0
43949,40,Both,No,3.5,No,0
51575,42,Both,No,3.5,No,0
2179,30,Both,No,3.5,No,0
91933,46,Both,No,3.5,No,0
13712,40,Both,No,3.5,No,0
71951,37,Both,No,3.5,No,0
8752,47,Both,No,3.5,No,0
58147,29,Both,No,3.5,No,0
49361,49,Both,No,3.5,No,0
82114,26,Both,No,3.5,No,0
33914,43,Both,No,3.5,No,0
12965,30,Both,No,3.5,No,0
70228,20,Both,No,3.5,No,0
72539,34,Both,No,3.5,No,0
74409,33,Both,No,3.5,No,0
41851,27,Both,No,3.5,No,0
58306,38,Both,No,3.5,No,0
4626,26,Both,No,3.5,No,0
80154,46,Both,No,3.5,No,0
35125,25,Both,No,3.5,No,0
97679,34,Both,No,3.5,No,0
45551,26,Both,No,3.5,No,0
14252,42,Both,No,3.5,No,0
58984,34,Both,No,3.5,No,0
11388,41,Both,No,3.5,No,0
48844,25,Both,No,3.5,No,0
63245,35,Both,No,3.5,No,0
51805,25,Both,No,3.5,No,0
97355,26,Both,No,3.5,No,0
35589,26,Both,No,3.5,No,0
73143,27,Both,No,3.5,No,0
16708,21,Both,No,3.5,No,0
93411,50,Both,No,3.5,No,0
46188,45,Both,No,3.5,No,0
3402,20,Both,No,3.5,No,0
74781,41,Both,No,3.5,No,0
18481,34,Both,No,3.5,No,0
90342,38,Both,No,3.5,No,0
98281,34,Both,No,3.5,No,0
26318,48,Both,No,3.5,No,0
40855,39,Both,No,3.5,No,0
80279,47,Both,No,3.5,No,0
70770,47,Both,No,3.5,No,0
60315,24,Both,No,3.5,No,0
13615,23,Both,No,3.5,No,0
88939,39,Both,No,3.5,No,0
71823,49,Both,No,3.5,No,0
26714,35,Both,No,3.5,No,0
53307,27,Both,No,3.5,No,0
95083,30,Both,No,3.5,No,0
5539,50,Both,No,3.5,No,0
22438,40,Both,No,3.5,No,0
89682,23,Both,No,3.5,No,0
98704,24,Both,No,3.5,No,0
66201,32,Both,No,3.5,No,0
14231,18,Both,No,3.5,No,0
9688,37,Both,No,3.5,No,0
99817,41,Both,No,3.5,No,0
7715,38,Both,No,3.5,No,0
52815,47,Both,No,3.5,No,0
35399,31,Both,No,3.5,No,0
82456,26,Both,No,3.5,No,0
63986,30,Both,No,3.5,No,0
48309,33,Both,No,3.5,No,0
24156,18,Both,No,3.5,No,0
56010,30,Both,No,3.5,No,0
42808,37,Both,No,3.5,No,0
52196,36,Both,No,3.5,No,0
29290,22,Both,No,3.5,No,0
34918,38,Both,No,3.5,No,0
6150,32,Both,No,3.5,No,0
12091,19,Both,No,3.5,No,0
72227,41,Both,No,3.5,No,0
16648,31,Both,No,3.5,No,0
79790,28,Both,No,3.5,No,0
32667,21,Both,No,3.5,No,0
9401,18,Both,No,3.5,No,0
95565,46,Both,No,3.5,No,0
32501,20,Both,No,3.5,No,0
47795,48,Both,No,3.5,No,0
33610,47,Both,No,3.5,No,0
74497,47,Both,No,3.5,No,0
13144,34,Both,No,3.5,No,0
55843,34,Both,No,3.5,No,0
32859,25,Both,No,3.5,No,0
78827,47,Both,No,3.5,No,0
86653,30,Both,No,3.5,No,0
5507,32,Both,No,3.5,No,0
79309,36,Both,No,3.5,No,0
99346,37,Both,No,3.5,No,0
2022,18,Both,No,3.5,No,0
26023,41,Both,No,3.5,No,0
13293,42,Both,No,3.5,No,0
49057,22,Both,No,3.5,No,0
77585,19,Both,No,3.5,No,0
24843,40,Both,No,3.5,No,0
46141,49,Both,No,3.5,No,0
95828,29,Both,No,3.5,No,0
48088,50,Both,No,3.5,No,0
64181,27,Both,No,3.5,No,0
44699,26,Both,No,3.5,No,0
13721,20,Both,No,3.5,No,0
57408,41,Both,No,3.5,No,0
4204,43,Both,No,3.5,No,0
47788,45,Both,No,3.5,No,0
31751,18,Both,No,3.5,No,0
18157,25,Both,No,3.5,No,0
68621,30,Both,No,3.5,No,0
29947,42,Both,No,3.5,No,0
72776,31,Both,No,3.5,No,0
79747,49,Both,No,3.5,No,0
3494,23,Both,No,3.5,No,0
6916,34,Both,No,3.5,No,0
68834,24,Both,No,3.5,No,0
51635,40,Both,No,3.5,No,0
97500,29,Both,No,3.5,No,0
18521,25,Both,No,3.5,No,0
13910,42,Both,No,3.5,No,0
86376,27,Both,No,3.5,No,0
8879,44,Both,No,3.5,No,0
96814,31,Both,No,3.5,No,0
38606,29,Both,No,3.5,No,0
83528,30,Both,No,3.5,No,0
72396,23,Both,No,3.5,No,0
72859,35,Both,No,3.5,No,0
87507,25,Both,No,3.5,No,0
30639,35,Both,No,3.5,No,0
47087,46,Both,No,3.5,No,0
15744,27,Both,No,3.5,No,0
36055,22,Both,No,3.5,No,0
99757,33,Both,No,3.5,No,0
75170,31,Both,No,3.5,No,0
69918,28,Both,No,3.5,No,0
5440,36,Both,No,3.5,No,0
15979,27,Both,No,3.5,No,0
80323,22,Both,No,3.5,No,0
91993,45,Both,No,3.5,No,0
97307,29,Both,No,3.5,No,0
70150,40,Both,No,3.5,No,0
52009,32,Both,No,3.5,No,0
8164,48,Both,No,3.5,No,0
44666,28,Both,No,3.5,No,0
7272,36,Both,No,3.5,No,0
83378,18,Both,No,3.5,No,0
41770,46,Both,No,3.5,No,0
34837,41,Both,No,3.5,No,0
62339,43,Both,No,3.5,No,0
99930,33,Both,No,3.5,No,0
22587,21,Both,No,3.5,No,0
22905,41,Both,No,3.5,No,0
31525,30,Both,No,3.5,No,0
50756,39,Both,No,3.5,No,0
16226,40,Both,No,3.5,No,0
71018,45,Both,No,3.5,No,0
68307,28,Both,No,3.5,No,0
3939,46,Both,No,3.5,No,0
52785,43,Both,No,3.5,No,0
33243,18,Both,No,3.5,No,0
12581,39,Both,No,3.5,No,0
32764,48,Both,No,3.5,No,0
58648,22,Both,No,3.5,No,0
28255,26,Both,No,3.5,No,0
78175,39,Both,No,3.5,No,0
96074,18,Both,No,3.5,No,0
19096,34,Both,No,3.5,No,0
37111,19,Both,No,3.5,No,0
67753,35,Both,No,3.5,No,0
25406,28,Both,No,3.5,No,0
74218,21,Both,No,3.5,No,0
75690,32,Both,No,3.5,No,0
92869,34,Both,No,3.5,No,0
82031,24,Both,No,3.5,No,0
23806,47,Both,No,3.5,No,0
14590,33,Both,No,3.5,No,0
62387,46,Both,No,3.5,No,0
59965,24,Both,No,3.5,No,0
42768,19,Both,No,3.5,No,0
17921,42,Both,No,3.5,No,0
34817,50,Both,No,3.5,No,0
11951,42,Both,No,3.5,No,0
83076,32,Both,No,3.5,No,0
63706,34,Both,No,3.5,No,0
20152,31,Both,No,3.5,No,0
13154,32,Both,No,3.5,No,0
86610,49,Both,No,3.5,No,0
49353,34,Both,No,3.5,No,0
19286,21,Both,No,3.5,No,0
76032,48,Both,No,3.5,No,0
80989,42,Both,No,3.5,No,0
94546,42,Both,No,3.5,No,0
27763,49,Both,No,3.5,No,0
67850,21,Both,No,3.5,No,0
58000,43,Both,No,3.5,No,0
45433,34,Both,No,3.5,No,0
23839,42,Both,No,3.5,No,0
20180,50,Both,No,3.5,No,0
71028,34,Both,No,3.5,No,0
71751,35,Both,No,3.5,No,0
71783,28,Both,No,3.5,No,0
58554,26,Both,No,3.5,No,0
40652,50,Both,No,3.5,No,0
5055,26,Both,No,3.5,No,0
18827,43,Both,No,3.5,No,0
53068,40,Both,No,3.5,No,0
73370,48,Both,No,3.5,No,0
31654,37,Both,No,3.5,No,0
97545,49,Both,No,3.5,No,0
9519,21,Both,No,3.5,No,0
54317,18,Both,No,3.5,No,0
99884,33,Both,No,3.5,No,0
83263,49,Both,No,3.5,No,0
52829,28,Both,No,3.5,No,0
18866,29,Both,No,3.5,No,0
28528,38,Both,No,3.5,No,0
81617,23,Both,No,3.5,No,0
79068,27,Both,No,3.5,No,0
46480,27,Both,No,3.5,No,0
86588,33,Both,No,3.5,No,0
43008,28,Both,No,3.5,No,0
20895,49,Both,No,3.5,No,0
51561,43,Both,No,3.5,No,0
91543,18,Both,No,3.5,No,0
37022,21,Both,No,3.5,No,0
26822,46,Both,No,3.5,No,0
21304,29,Both,No,3.5,No,0
62254,47,Both,No,3.5,No,0
27399,31,Both,No,3.5,No,0
6889,46,Both,No,3.5,No,0
66040,24,Both,No,3.5,No,0
85892,29,Both,No,3.5,No,0
53733,27,Both,No,3.5,No,0
72982,48,Both,No,3.5,No,0
16743,47,Both,No,3.5,No,0
99326,21,Both,No,3.5,No,0
86495,27,Both,No,3.5,No,0
86632,37,Both,No,3.5,No,0
26906,37,Both,No,3.5,No,0
62511,31,Both,No,3.5,No,0
11316,20,Both,No,3.5,No,0
69840,38,Both,No,3.5,No,0
79891,40,Both,No,3.5,No,0
46208,46,Both,No,3.5,No,0
11236,47,Both,No,3.5,No,0
43036,43,Both,No,3.5,No,0
60845,28,Both,No,3.5,No,0
75194,50,Both,No,3.5,No,0
45548,29,Both,No,3.5,No,0
82346,25,Both,No,3.5,No,0
17859,32,Both,No,3.5,No,0
12472,33,Both,No,3.5,No,0
23585,34,Both,No,3.5,No,0
55810,22,Both,No,3.5,No,0
88574,34,Both,No,3.5,No,0
99074,30,Both,No,3.5,No,0
87885,25,Both,No,3.5,No,0
37399,29,Both,No,3.5,No,0
31721,38,Both,No,3.5,No,0
43021,40,Both,No,3.5,No,0
84570,40,Both,No,3.5,No,0
81449,24,Both,No,3.5,No,0
82920,29,Both,No,3.5,No,0
28425,25,Both,No,3.5,No,0
77067,32,Both,No,3.5,No,0
6592,24,Both,No,3.5,No,0
84831,26,Both,No,3.5,No,0
54341,44,Both,No,3.5,No,0
47245,18,Both,No,3.5,No,0
40854,36,Both,No,3.5,No,0
99549,48,Both,No,3.5,No,0
88010,25,Both,No,3.5,No,0
88837,26,Both,No,3.5,No,0
39584,31,Both,No,3.5,No,0
81500,18,Both,No,3.5,No,0
67149,45,Both,No,3.5,No,0
47310,21,Both,No,3.5,No,0
75716,50,Both,No,3.5,No,0
55560,30,Both,No,3.5,No,0
78305,19,Both,No,3.5,No,0
52291,44,Both,No,3.5,No,0
88742,33,Both,No,3.5,No,0
31521,25,Both,No,3.5,No,0
49078,40,Both,No,3.5,No,0
74031,24,Both,No,3.5,No,0
26119,36,Both,No,3.5,No,0
84555,46,Both,No,3.5,No,0
4359,31,Both,No,3.5,No,0
49117,26,Both,No,3.5,No,0
15332,20,Both,No,3.5,No,0
39216,19,Both,No,3.5,No,0
30605,20,Both,No,3.5,No,0
64253,31,Both,No,3.5,No,0
15016,67,Both,No,4,No,1
11781,83,Both,No,4,No,1
8610,82,Both,No,4,No,1
17295,68,Both,No,4,No,1
7991,77,Both,No,4,No,1
86249,91,Both,No,4,No,1
6138,68,Both,No,4,No,1
30283,61,Both,No,4,No,1
13277,99,Both,No,4,No,1
17083,62,Both,No,4,No,1
41989,85,Both,No,4,No,1
79417,60,Both,No,4,No,1
65622,61,Both,No,4,No,1
4064,62,Both,No,4,No,1
37676,66,Both,No,4,No,1
12441,98,Both,No,4,No,1
4065,72,Both,No,4,No,1
16201,59,Both,No,4,No,1
41671,83,Both,No,4,No,1
67646,85,Both,No,4,No,1
61040,65,Both,No,4,No,1
2458,92,Both,No,4,No,1
63782,94,Both,No,4,No,1
73757,73,Both,No,4,No,1
51415,90,Both,No,4,No,1
20816,85,Both,No,4,No,1
46114,85,Both,No,4,No,1
89329,98,Both,No,4,No,1
59363,74,Both,No,4,No,1
31971,85,Both,No,4,No,1
31330,78,Both,No,4,No,1
19404,74,Both,No,4,No,1
53353,72,Both,No,4,No,1
64837,55,Both,No,4,No,1
29405,61,Both,No,4,No,1
67199,87,Both,No,4,No,1
51872,82,Both,No,4,No,1
51157,60,Both,No,4,No,1
31644,84,Both,No,4,No,1
97086,55,Both,No,4,No,1
81048,64,Both,No,4,No,1
65649,68,Both,No,4,No,1
16684,60,Both,No,4,No,1
13722,88,Both,No,4,No,1
47591,86,Both,No,4,No,1
47279,81,Both,No,4,No,1
60134,76,Both,No,4,No,1
70940,100,Both,No,4,No,1
43114,79,Both,No,4,No,1
40011,90,Both,No,4,No,1
26620,57,Both,No,4,No,1
26770,85,Both,No,4,No,1
39669,98,Both,No,4,No,1
70192,82,Both,No,4,No,1
31811,62,Both,No,4,No,1
8609,100,Both,No,4,No,1
52630,91,Both,No,4,No,1
67455,96,Both,No,4,No,1
65737,62,Both,No,4,No,1
99686,78,Both,No,4,No,1
6211,64,Both,No,4,No,1
22110,95,Both,No,4,No,1
44538,87,Both,No,4,No,1
24502,98,Both,No,4,No,1
73258,63,Both,No,4,No,1
5948,99,Both,No,4,No,1
96714,55,Both,No,4,No,1
25475,63,Both,No,4,No,1
78841,90,Both,No,4,No,1
75805,82,Both,No,4,No,1
18596,67,Both,No,4,No,1
17403,98,Both,No,4,No,1
37352,71,Both,No,4,No,1
42436,79,Both,No,4,No,1
65084,59,Both,No,4,No,1
71422,61,Both,No,4,No,1
12918,70,Both,No,4,No,1
7324,96,Both,No,4,No,1
95608,63,Both,No,4,No,1
30442,76,Both,No,4,No,1
34703,69,Both,No,4,No,1
83949,59,Both,No,4,No,1
24781,98,Both,No,4,No,1
33781,79,Both,No,4,No,1
83479,60,Both,No,4,No,1
2140,93,Both,No,4,No,1
41893,68,Both,No,4,No,1
67023,64,Both,No,4,No,1
8385,68,Both,No,4,No,1
27144,79,Both,No,4,No,1
5816,76,Both,No,4,No,1
86299,99,Both,No,4,No,1
13716,64,Both,No,4,No,1
5281,70,Both,No,4,No,1
57804,55,Both,No,4,No,1
70596,62,Both,No,4,No,1
6216,64,Both,No,4,No,1
77651,73,Both,No,4,No,1
49485,63,Both,No,4,No,1
81270,97,Both,No,4,No,1
43398,89,Both,No,4,No,1
36977,68,Both,No,4,No,1
21112,64,Both,No,4,No,1
67704,56,Both,No,4,No,1
50128,89,Both,No,4,No,1
73868,73,Both,No,4,No,1
87283,59,Both,No,4,No,1
4471,74,Both,No,4,No,1
53336,77,Both,No,4,No,1
2459,70,Both,No,4,No,1
26745,62,Both,No,4,No,1
41200,91,Both,No,4,No,1
47378,89,Both,No,4,No,1
41369,66,Both,No,4,No,1
60864,76,Both,No,4,No,1
48121,100,Both,No,4,No,1
1676,58,Both,No,4,No,1
22536,73,Both,No,4,No,1
47530,92,Both,No,4,No,1
53662,64,Both,No,4,No,1
39437,63,Both,No,4,No,1
62971,96,Both,No,4,No,1
18210,99,Both,No,4,No,1
74819,60,Both,No,4,No,1
41964,76,Both,No,4,No,1
88432,81,Both,No,4,No,1
85162,85,Both,No,4,No,1
83445,60,Both,No,4,No,1
51951,56,Both,No,4,No,1
19340,73,Both,No,4,No,1
48885,95,Both,No,4,No,1
45247,71,Both,No,4,No,1
72010,68,Both,No,4,No,1
14023,94,Both,No,4,No,1
32211,62,Both,No,4,No,1
74413,88,Both,No,4,No,1
28270,56,Both,No,4,No,1
76646,67,Both,No,4,No,1
49771,97,Both,No,4,No,1
41010,85,Both,No,4,No,1
52016,59,Both,No,4,No,1
95108,55,Both,No,4,No,1
46885,77,Both,No,4,No,1
17937,67,Both,No,4,No,1
56566,83,Both,No,4,No,1
43511,68,Both,No,4,No,1
95208,55,Both,No,4,No,1
98809,100,Both,No,4,No,1
10404,100,Both,No,4,No,1
69441,71,Both,No,4,No,1
60794,92,Both,No,4,No,1
61735,93,Both,No,4,No,1
43310,62,Both,No,4,No,1
68697,68,Both,No,4,No,1
94870,68,Both,No,4,No,1
14526,92,Both,No,4,No,1
32190,93,Both,No,4,No,1
98982,70,Both,No,4,No,1
77549,65,Both,No,4,No,1
13936,77,Both,No,4,No,1
70441,77,Both,No,4,No,1
805,74,Both,No,4,No,1
1328,75,Both,No,4,No,1
21344,96,Both,No,4,No,1
70007,64,Both,No,4,No,1
15418,71,Both,No,4,No,1
34906,65,Both,No,4,No,1
3668,59,Both,No,4,No,1
75541,89,Both,No,4,No,1
96209,100,Both,No,4,No,1
80959,98,Both,No,4,No,1
3457,89,Both,No,4,No,1
58287,80,Both,No,4,No,1
97080,92,Both,No,4,No,1
22670,58,Both,No,4,No,1
30012,97,Both,No,4,No,1
17427,88,Both,No,4,No,1
89675,82,Both,No,4,No,1
34844,67,Both,No,4,No,1
83162,64,Both,No,4,No,1
3253,67,Both,No,4,No,1
52102,94,Both,No,4,No,1
66493,67,Both,No,4,No,1
6230,71,Both,No,4,No,1
21719,71,Both,No,4,No,1
17656,87,Both,No,4,No,1
56486,90,Both,No,4,No,1
14571,85,Both,No,4,No,1
17661,97,Both,No,4,No,1
84777,60,Both,No,4,No,1
13397,82,Both,No,4,No,1
21332,95,Both,No,4,No,1
68683,91,Both,No,4,No,1
43954,63,Both,No,4,No,1
34435,81,Both,No,4,No,1
52616,100,Both,No,4,No,1
5616,56,Both,No,4,No,1
6793,62,Both,No,4,No,1
30400,88,Both,No,4,No,1
48494,88,Both,No,4,No,1
91223,86,Both,No,4,No,1
47897,96,Both,No,4,No,1
25860,67,Both,No,4,No,1
89753,94,Both,No,4,No,1
57543,100,Both,No,4,No,1
12930,73,Both,No,4,No,1
97758,64,Both,No,4,No,1
1528,84,Both,No,4,No,1
26929,98,Both,No,4,No,1
7148,64,Both,No,4,No,1
42303,59,Both,No,4,No,1
34004,94,Both,No,4,No,1
47266,67,Both,No,4,No,1
78535,96,Both,No,4,No,1
56822,90,Both,No,4,No,1
41321,68,Both,No,4,No,1
17173,89,Both,No,4,No,1
18472,79,Both,No,4,No,1
18199,65,Both,No,4,No,1
69161,71,Both,No,4,No,1
29262,94,Both,No,4,No,1
63015,86,Both,No,4,No,1
7044,82,Both,No,4,No,1
15033,91,Both,No,4,No,1
86247,85,Both,No,4,No,1
17251,80,Both,No,4,No,1
77088,58,Both,No,4,No,1
90775,61,Both,No,4,No,1
27344,90,Both,No,4,No,1
3187,97,Both,No,4,No,1
19127,99,Both,No,4,No,1
71995,83,Both,No,4,No,1
43412,76,Both,No,4,No,1
46971,57,Both,No,4,No,1
13430,72,Both,No,4,No,1
40180,74,Both,No,4,No,1
34345,98,Both,No,4,No,1
20537,87,Both,No,4,No,1
63880,88,Both,No,4,No,1
1844,92,Both,No,4,No,1
88749,94,Both,No,4,No,1
8950,95,Both,No,4,No,1
70052,70,Both,No,4,No,1
18376,97,Both,No,4,No,1
6938,71,Both,No,4,No,1
22641,99,Both,No,4,No,1
1807,83,Both,No,4,No,1
35328,76,Both,No,4,No,1
25077,92,Both,No,4,No,1
97086,55,Both,No,4,No,1
29860,69,Both,No,4,No,1
79244,64,Both,No,4,No,1
29991,88,Both,No,4,No,1
66506,74,Both,No,4,No,1
79243,59,Both,No,4,No,1
87941,57,Both,No,4,No,1
19080,77,Both,No,4,No,1
48670,90,Both,No,4,No,1
91175,80,Both,No,4,No,1
30803,92,Both,No,4,No,1
53643,94,Both,No,4,No,1
64283,72,Both,No,4,No,1
47428,64,Both,No,4,No,1
35083,64,Both,No,4,No,1
69246,89,Both,No,4,No,1
2506,68,Both,No,4,No,1
93060,71,Both,No,4,No,1
99156,90,Both,No,4,No,1
70571,97,Both,No,4,No,1
33373,72,Both,No,4,No,1
45573,67,Both,No,4,No,1
98047,81,Both,No,4,No,1
64482,77,Both,No,4,No,1
91710,80,Both,No,4,No,1
4612,67,Both,No,4,No,1
55110,59,Both,No,4,No,1
97436,71,Both,No,4,No,1
96929,56,Both,No,4,No,1
14875,65,Both,No,4,No,1
85666,68,Both,No,4,No,1
95314,84,Both,No,4,No,1
71791,88,Both,No,4,No,1
32171,71,Both,No,4,No,1
72380,93,Both,No,4,No,1
77470,87,Both,No,4,No,1
49150,74,Both,No,4,No,1
22517,68,Both,No,4,No,1
20571,93,Both,No,4,No,1
34978,94,Both,No,4,No,1
72913,69,Both,No,4,No,1
2165,57,Both,No,4,No,1
69269,63,Both,No,4,No,1
36651,56,Both,No,4,No,1
41055,96,Both,No,4,No,1
27437,98,Both,No,4,No,1
1405,97,Both,No,4,No,1
77996,61,Both,No,4,No,1
72934,59,Both,No,4,No,1
48868,58,Both,No,4,No,1
8275,100,Both,No,4,No,1
49745,82,Both,No,4,No,1
64256,67,Both,No,4,No,1
16572,56,Both,No,4,No,1
62766,55,Both,No,4,No,1
48459,69,Both,No,4,No,1
76731,70,Both,No,4,No,1
8957,73,Both,No,4,No,1
42448,80,Both,No,4,No,1
73166,64,Both,No,4,No,1
80387,79,Both,No,4,No,1
